Size,QuickSort,MergeSort,InsertionSort,SelectionSort,MinFinderSort
100, 808458, 760792, 395083, 626250, 794667
200, 482917, 765292, 684000, 1153834, 1338917
500, 1075583, 1769625, 4034000, 2939750, 3735292
1000, 713750, 1005375, 3165334, 1537000, 2713791
2000, 1149000, 1897291, 2440500, 11706791, 7825083
5000, 2616084, 5429625, 11414000, 11555375, 31519000
10000, 7213917, 14731084, 45482916, 47994083, 79501958
20000, 6900792, 22191708, 282369417, 216879167, 378343750
50000, 18231667, 135979417, 2561368916, 940735500, 1475161250
100000, 26051084, 464099875, 8993863833, 4404379292, 5482792583
